Mean_Protein,Mean err_Protein,SD_Protein,SD err_Protein,log_protein_mean,log_protein_var
1.067,0.225,0.941,0.73,0.028164419,-0.052820753
18.245,0.23,8.879,0.219,1.261143868,1.896728112
0.114,0.035,0.398,0.073,-0.943095149,-0.800233856
11.173,0.133,7.206,0.625,1.048169799,1.715388516
0.378,0.037,0.91,0.115,-0.4225082,-0.081917215
15.691,0.068,6.428,0.117,1.195650622,1.616151736
40.817,0.287,16.133,0.45,1.610841081,2.415430268
113.635,0.578,45.317,0.561,2.055512116,3.312522303
9.522,0.056,3.759,0.066,0.978728177,1.150144651
28.718,0.202,12.175,0.342,1.458154191,2.17093794
0.844,28.804,0.879,2550.333,-0.073657553,-0.11202225
94.827,1.192,42.745,0.93,1.976932011,3.261770643
1.045,0.019,0.962,0.032,0.01911629,-0.033649856
1.135,0.115,2.53,0.463,0.054995862,0.806241042
0.824,0.054,1.161,0.095,-0.084072788,0.129664439
13.419,0.085,5.038,0.267,1.127720153,1.404516326
368.665,1.5,127.791,1.244,2.566631909,4.213000537
8.874,0.205,4.393,0.413,0.948119424,1.285522407
68.835,0.445,30.805,0.392,1.837809317,2.977242426
18.473,0.142,7.337,0.149,1.26653743,1.731037038
251.1,1.592,125.043,1.754,2.399846713,4.194118769
0.663,0.066,1.081,0.059,-0.178486472,0.067651388
0.444,0.12,1.026,0.146,-0.35261703,0.022294722
2.982,0.024,1.784,0.037,0.474507639,0.5027897
8.168,0.099,4.838,0.224,0.912115729,1.369331728
3.981,0.082,2.009,0.154,0.599992178,0.605959873
22.182,0.139,8.906,0.345,1.346000701,1.899365382
9.335,0.049,3.848,0.044,0.970114322,1.170470127
390.765,8.61,314.666,11.431,2.591915658,4.995699639
2.175,0.047,1.438,0.074,0.337459261,0.315517772
39.583,0.166,11.71,0.615,1.597508706,2.13711379
9.227,0.487,17.556,1.133,0.965060521,2.488851144
70.378,0.443,20.215,0.405,1.847436921,2.611347491
32.453,0.16,10.425,0.16,1.51125485,2.036152127
46.786,0.414,20.236,0.466,1.670115916,2.612249341
109.877,0.444,30.845,0.402,2.040906793,2.978369549
25.141,0.211,11.573,0.398,1.400382548,2.126891906
0.806,0.074,1.627,0.139,-0.093664958,0.422775106
201.673,0.875,68.05,0.74,2.304647759,3.665656259
62.472,0.362,22.303,0.325,1.79568541,2.696726569
38.871,0.14,12.383,0.163,1.589625713,2.185651746
41.285,0.503,18.328,0.489,1.615792289,2.526230152
36.765,0.664,20.155,0.526,1.56543457,2.608765605
2.428,0.065,1.437,0.05,0.385248682,0.314913536
1.631,0.082,1.666,0.301,0.212453961,0.443349994
36.02,0.46,15.591,0.36,1.556543708,2.385747943
0.69,0.044,0.844,0.116,-0.161150909,-0.147315107
15.213,0.138,6.145,0.208,1.182214865,1.577043774
5.627,0.038,2.498,0.11,0.750276915,0.795184868
162.983,0.863,67.468,0.805,2.212142308,3.658195673
2.199,0.038,1.409,0.043,0.342225229,0.297821986
3.601,0.029,1.69,0.042,0.556423121,0.455773409
1.887,0.07,1.793,0.144,0.2757719,0.507160579
5.08,0.419,10.614,0.975,0.705863712,2.051758167
2.869,0.109,2.336,0.359,0.457730548,0.736945677
0.918,1.27,1.407,0.52,-0.037157319,0.296588195
0.062,0.053,0.309,0.123,-1.207608311,-1.020083041
2.465,0.03,1.4,0.113,0.391816924,0.292256071
22.029,0.102,8.099,0.112,1.342994783,1.816862798
10.097,0.1,4.396,0.251,1.004192356,1.286115368
8.279,0.081,4.56,0.553,0.917977883,1.317929685
4.785,0.1,3.093,1.312,0.679881942,0.98075984
12.758,0.103,5.123,0.173,1.105782598,1.419048712
6.341,0.147,3.218,1.615,0.802157753,1.01517208
0.177,0.016,0.573,0.032,-0.752026734,-0.483690756
0.168,0.03,0.482,0.038,-0.774690718,-0.633905924
0.707,0.068,1.141,0.098,-0.150580586,0.114571289
46.601,0.333,20.742,0.767,1.668395236,2.63370126
77.395,1.091,37.901,1.016,1.888712905,3.157301338
14.4,0.148,8.372,0.172,1.158362492,1.845658439
2.615,0.2,1.539,0.231,0.417471693,0.37447724
1.106,0.05,0.977,0.025,0.043755127,-0.020210873
12.201,0.224,8.052,0.432,1.086395427,1.811807532
27.721,0.225,12.609,0.579,1.442808893,2.201361289
335.577,21.152,747.488,35.439,2.525792187,5.74720845
23.971,0.274,9.741,0.409,1.379686152,1.977207087
75.695,0.379,24.312,0.36,1.879067193,2.771641374
39.344,0.222,13.613,0.294,1.594878511,2.267907689
12.797,0.176,5.633,0.443,1.10710817,1.501479502
27.658,0.195,11.697,0.311,1.441820772,2.13614898
178.237,0.688,62.532,0.541,2.250997864,3.592204638
0.716,0.133,1.141,0.239,-0.145086978,0.114571289
49.951,0.196,17.316,0.291,1.698544187,2.476895154
462.18,5.081,204.416,5.697,2.664811148,4.621029772
826.119,5.261,315.955,5.537,2.917042611,4.999250465
1.44,0.053,2.389,0.079,0.158362492,0.756432299
1640.447,11.133,530.978,10.223,3.214962204,5.450153055
83.224,0.315,27.818,0.259,1.920248585,2.888651806
9.277,0.058,3.652,0.218,0.967407557,1.125061538
39.44,0.329,15.134,0.317,1.595936906,2.359907459
10.129,0.091,4.968,0.212,1.005566571,1.392363174
11.815,0.083,5.078,0.252,1.072433726,1.411385393
0.286,0.14,0.707,0.152,-0.543633967,-0.301161172
0.779,0.057,0.962,0.204,-0.108462542,-0.033649856
69.417,0.613,29.886,0.507,1.841465841,2.950935584
64.087,0.342,21.142,0.306,1.806769942,2.650292137
119.553,1.771,68.698,2.058,2.077560479,3.673888187
14.487,0.059,5.346,0.122,1.16097846,1.456057909
17.936,0.109,6.861,0.107,1.253725595,1.672774839
11.377,0.082,4.654,0.55,1.056027758,1.335652758
94.049,0.458,35.486,0.549,1.973354182,3.100114096
115.102,0.655,47.81,0.61,2.06108287,3.359037487
21.145,0.194,8.171,0.221,1.325207689,1.824550421
555.169,2.236,215.636,2.285,2.744425208,4.667442534
12.826,0.092,5.405,0.327,1.108091236,1.465591397
16.726,0.115,6.523,0.275,1.223392092,1.628894757
11.842,0.175,13.464,0.448,1.073425057,2.258348206
14.608,0.098,5.512,0.295,1.16459076,1.482618418
0.616,0.024,0.764,0.087,-0.210419288,-0.233813283
2.996,0.063,2.119,0.07,0.476541809,0.652261913
35.302,0.24,15.558,0.367,1.547799311,2.383907534
20.164,0.139,7.617,0.131,1.304576689,1.763567911
76.627,0.709,27.739,0.615,1.884381823,2.886181601
72.6,2.151,70.404,3.579,1.860936621,3.695194669
24.934,0.174,9.094,0.22,1.396791955,1.9175099
14.264,0.102,5.945,0.182,1.15424133,1.548303718
473.979,3.242,191.053,3.426,2.6757591,4.562307723
86.147,0.477,32.126,0.409,1.935240158,3.01371331
0.157,0.051,0.452,0.07,-0.804100348,-0.68972313
11.311,0.078,5.385,0.122,1.053501002,1.462371415
1.628,0.11,1.647,0.156,0.211654401,0.433387198
2.634,0.112,2.788,0.155,0.420615771,0.890585539
1.855,0.035,1.661,0.064,0.268343914,0.440739265
3.38,0.06,1.914,0.047,0.5289167,0.563883867
2.249,0.062,1.345,0.05,0.351989455,0.257444569
3.857,0.054,2.011,0.119,0.586249639,0.606824141
0.307,2.646,0.547,10.127,-0.512861625,-0.524025347
9.883,0.078,4.792,0.118,0.994888795,1.361033619
36.76,0.228,16.105,0.314,1.565375503,2.413921458
3.897,0.155,3.689,0.492,0.590730406,1.13381731
2.352,0.159,2.208,0.817,0.371437317,0.687998138
18.614,0.15,9.676,0.238,1.26983971,1.971391719
0.371,0.054,0.599,0.145,-0.43062609,-0.445146355
1.077,0.124,1.324,0.444,0.032215703,0.24377597
23.48,0.252,9.007,0.262,1.370698093,1.909160325
567.312,2.693,193.728,2.564,2.75382197,4.57438479
2.179,0.059,1.73,0.131,0.33825723,0.476092206
11.303,0.085,4.659,0.181,1.053193728,1.336585421
4.156,0.039,2.071,0.104,0.618675539,0.632360198
11.823,0.082,5.157,0.255,1.07272769,1.424794263
5.008,0.048,3.101,0.073,0.69966432,0.983003532
10.741,0.076,4.26,0.233,1.031044717,1.258819198
1.732,0.125,1.34,0.033,0.238547888,0.254209597
4.761,0.033,2.229,0.067,0.677698181,0.696220137
0.607,0.152,0.704,0.078,-0.216811309,-0.304854682
46.834,0.467,19.886,0.469,1.670561252,2.59709487
35.789,0.328,14.436,0.278,1.553749564,2.318893747
1.131,0.029,1.03,0.038,0.053462605,0.025674449
11.292,0.101,5.675,0.094,1.052770869,1.507931732
1.355,0.071,1.601,0.082,0.131939295,0.408782664
9.613,0.104,4.898,0.172,0.982858942,1.380037562
0.335,0.039,0.976,0.061,-0.474955193,-0.021100365
1.087,0.265,1.595,0.268,0.036229544,0.405521375
1.041,0.044,1.306,0.062,0.01745073,0.231886354
0.859,0.229,1.227,0.637,-0.066006836,0.177689125
4.488,0.185,5.312,0.227,0.652052848,1.450516133
1.281,0.058,1.859,0.075,0.10754913,0.53855878
0.572,0.055,1.398,0.134,-0.242603971,0.291014343
1.503,0.115,1.773,0.023,0.176958981,0.497417471
118.608,0.795,47.894,0.746,2.074113983,3.36056222
4.998,0.084,2.426,0.362,0.698796252,0.769781593
1.016,0.052,0.928,0.143,0.006893708,-0.064904048
89.275,0.849,40.114,1.168,1.950729859,3.20659194
40.084,0.26,18.303,0.411,1.602971053,2.525044559
22.93,0.35,10.173,1.819,1.360404055,2.014898089
12.71,0.069,4.222,0.183,1.104145551,1.251036458
103.99,0.787,47.987,0.82,2.016991578,3.3622472
42.661,0.481,15.847,0.43,1.630031031,2.399894116
3.221,0.052,1.704,0.123,0.507990725,0.462939181
33.368,0.652,16.894,0.628,1.523330177,2.45546498
0.379,0.053,0.802,0.064,-0.42136079,-0.191651263
2.968,0.044,1.583,0.041,0.472463897,0.39896183
676.369,4.653,244.741,3.7,2.830183694,4.77741346
564.396,4.067,222.032,3.529,2.751583927,4.692831142
290.091,2.427,125.243,2.421,2.462534255,4.195506924
347.042,2.124,127.736,1.744,2.540382038,4.212626625
2.825,0.228,2.397,0.276,0.451018452,0.759336068
25.114,0.248,10.812,0.259,1.39991589,2.067812074
12.473,0.168,7.059,0.612,1.095970922,1.697486364
19.544,0.136,8.544,0.285,1.291013454,1.863322479
41.471,0.235,16.504,0.256,1.617744508,2.43517843
8.838,0.182,4.071,0.316,0.946353997,1.219402205
30.843,0.155,12.486,0.195,1.489156614,2.192846661
7.027,0.04,2.946,0.042,0.846769954,0.938465485
187.667,0.802,59.447,0.728,2.273387912,3.548259886
3.562,0.052,1.779,0.075,0.551693915,0.500351896
1.701,0.098,1.717,0.121,0.230704314,0.46954059
17.56,0.225,8.968,0.242,1.244524512,1.905391199
4.163,0.113,2.131,0.411,0.619406411,0.657166899
16.686,0.205,8.997,0.348,1.222352239,1.908195441
5.143,0.16,3.999,0.836,0.711216524,1.203902808
25.585,0.158,10.155,0.16,1.407985421,2.013359855
9.1,0.166,4.707,0.134,0.959041392,1.345488397
178.463,1.254,63.446,0.999,2.251548189,3.604808494
12.918,0.088,4.905,0.156,1.11119528,1.381278023
20.325,0.192,8.139,0.2,1.308030554,1.821142097
13.597,0.142,6.293,0.354,1.133443098,1.597715463
0.682,0.043,0.61,0.238,-0.166215625,-0.42934033
1.454,0.948,1.02,6.243,0.162564407,0.017200344
77.963,1.187,54.361,1.098,1.891888542,3.470574874
12.881,0.131,6.78,0.283,1.10994958,1.662459388
0.964,0.114,1.263,0.365,-0.015922966,0.202806701
2.327,0.049,2.39,0.067,0.366796383,0.756795802
424.162,8.781,296.181,11.081,2.627531758,4.94311439
3.062,0.31,4.757,0.357,0.486005186,1.354666303
29.924,0.333,11.856,0.433,1.476019646,2.147876381
0.222,0.043,0.519,0.075,-0.653647026,-0.569665284
2.461,0.059,1.637,0.187,0.391111614,0.428097359
1.704,0.043,1.558,0.049,0.23146959,0.385134907
12.601,0.13,7.178,0.286,1.100405012,1.712006908
3.57,0.043,2.627,0.024,0.552668216,0.838920146
0.838,0.043,1.025,0.055,-0.076755981,0.021447731
0.556,0.028,0.858,0.063,-0.254925208,-0.133025424
72.605,0.581,27.703,0.49,1.86096653,2.885053604
4.596,0.091,2.413,0.229,0.66238002,0.765114644
938.13,5.62,374.692,4.795,2.972263024,5.147348841
83.677,0.397,30.273,0.369,1.922606101,2.962110922
463.217,2.269,150.037,1.998,2.66578449,4.352396744
44.951,0.259,15.363,0.268,1.652739358,2.372952061
38.07,0.552,16.032,0.592,1.580582877,2.409975408
146.558,2.554,122.54,3.515,2.16600953,4.176555752
83.183,0.302,24.393,0.251,1.920034579,2.774530432
10.389,0.147,6.27,0.255,1.016573746,1.594535082
136.661,0.649,53.448,0.546,2.135644594,3.455862917
1.177,0.17,1.94,0.531,0.070776463,0.57560346
37.007,0.3,13.7,0.31,1.56828388,2.273441134
50.691,0.392,20.746,0.341,1.704930859,2.633868747
102.55,0.579,33.029,0.733,2.010935665,3.03779085
23.886,0.325,12.084,0.709,1.378143428,2.164421433
2.133,0.128,1.476,0.514,0.328990855,0.338172715
15.163,0.249,7.828,0.756,1.180785135,1.787301634
36.695,0.627,17.317,0.639,1.564606892,2.476945314
42.382,0.303,15.919,0.416,1.627181447,2.403831565
273.582,2.034,100.928,1.986,2.43708752,4.008023335
39.178,0.18,13.71,0.212,1.593042262,2.27407491
55.757,0.301,17.157,0.273,1.746299399,2.468882703
0.233,0.038,0.775,0.058,-0.632644079,-0.221396595
174.805,0.994,57.737,0.935,2.242553851,3.522908429
277.748,1.772,134.762,1.977,2.44365094,4.259134895
6.814,0.06,3.368,0.128,0.833402129,1.054744166
45.473,0.266,15.003,0.342,1.657753607,2.352356219
240.998,1.244,87.228,1.251,2.382013438,3.88131183
14.881,0.227,6.982,1.302,1.172632117,1.687959689
89.684,0.351,23.428,0.319,1.95271497,2.739470431
210.659,2.217,89.92,2.194,2.323580018,3.907712596
7.66,0.112,3.737,0.3,0.88422877,1.145046196
11.378,0.098,4.944,0.103,1.056065929,1.388156924
98.71,0.47,28.963,0.451,1.994361152,2.923687089
13.721,0.117,6.005,0.184,1.137385764,1.557026023
10.37,0.083,3.74,0.13,1.015778756,1.145743204
52.034,0.493,20.218,0.466,1.716287213,2.611476384
25.687,0.218,9.038,0.31,1.409713386,1.912144674
1047.083,6.514,458.308,7.54,3.019981109,5.322314876
3350.186,21.275,1349.99,25.326,3.525068919,6.260661103
316.368,3.11,122.62,2.832,2.500192549,4.177122624
4.093,0.093,2.049,0.156,0.612041745,0.623083917
5.735,0.072,2.316,0.095,0.758533422,0.72947711
0.981,0.091,0.974,0.107,-0.008330993,-0.022882086
3.937,0.048,2.022,0.14,0.595165415,0.611562303
482.605,4.428,196.054,4.306,2.683591817,4.584751415
0.882,0.25,1.517,0.373,-0.054531415,0.361971162
10.524,0.078,4.768,0.301,1.022180839,1.356672493
30.78,0.167,9.014,0.159,1.488268615,1.909835107
5.759,0.064,2.458,0.146,0.760347079,0.781163757
1.057,0.119,1.252,0.127,0.024074987,0.195208658
125.146,0.629,39.192,0.569,2.097416973,3.186394853
8.907,0.078,3.631,0.117,0.949731452,1.120052498
31.075,0.216,11.593,0.196,1.492411137,2.128391672
1.429,0.051,1.221,0.044,0.155032229,0.173431328
16.216,0.174,8.729,0.168,1.209943736,1.881928987
8.654,0.053,3.162,0.075,0.937216891,0.999923731
81.892,0.407,27.494,0.414,1.913241478,2.878475857
80.769,0.719,31.061,0.702,1.907244706,2.984430867
150.981,0.68,54.801,0.624,2.178922298,3.477576967
311.312,1.742,97.047,1.653,2.493195862,3.973964229
15.864,0.186,7.209,0.364,1.200412701,1.715750051
8.255,0.068,3.741,0.142,0.916717078,1.145975416
70.686,0.376,26.436,0.358,1.849333406,2.844391486
57.187,0.397,18.117,0.354,1.757297314,2.516172569
1.458,0.162,1.43,0.156,0.163757524,0.310672075
3.027,0.046,1.598,0.051,0.481012421,0.40715355
0.661,0.077,0.883,0.31,-0.179798541,-0.108078593
8.034,0.155,3.006,1.492,0.904931827,0.955977953
28.608,0.149,10.399,0.149,1.456487497,2.033983156
14.486,0.155,6.23,0.29,1.160948481,1.588976093
5.889,0.11,3.755,0.145,0.770041554,1.149219883
10.855,0.064,5.013,0.514,1.035629828,1.400195409
5.115,0.182,2.467,0.098,0.708845638,0.784338299
1.086,0.095,1.602,0.21,0.035829825,0.409325023
3.175,0.094,3.135,0.105,0.50174373,0.99247509
3.69,0.083,2.074,0.265,0.567026366,0.633617504
21.956,0.167,10.652,0.436,1.341553222,2.054862316
0.612,0.186,1.142,0.418,-0.213248578,0.115332208
8.781,0.106,4.007,0.12,0.943543977,1.205638685
1.478,0.05,1.486,0.014,0.169674434,0.344037619
15.129,0.18,7.496,0.219,1.179810223,1.749659156
7.761,0.074,2.953,0.09,0.889917683,0.940526894
21.035,0.298,10.861,0.439,1.322942516,2.071739627
133.248,1.165,70.65,1.244,2.124660699,3.698224332
0.875,0.207,1.336,0.444,-0.057991947,0.251612916
674.735,8.282,397.435,8.518,2.829133239,5.198532221
20.488,0.248,9.886,0.266,1.311499565,1.990041212
0.852,0.086,1.321,0.186,-0.069560405,0.241805635
2.848,0.189,3.88,0.369,0.454539985,1.177663451
0.564,0.683,0.996,0.671,-0.248720896,-0.003481323
0.322,0.072,0.833,0.089,-0.492144128,-0.158709997
0.294,0.065,0.443,0.169,-0.53165267,-0.707192548
53.84,0.333,19.59,0.272,1.731105051,2.584068872
0.202,0.06,0.589,0.086,-0.694648631,-0.45976941
714.6,6.652,350.125,7.711,2.854063012,5.088446244
19.032,0.137,8.305,0.177,1.279484429,1.838679274
7.154,0.046,3.1,0.059,0.854548936,0.982723388
2.289,0.162,1.911,0.344,0.359645793,0.562521374
11.944,0.127,6.313,0.285,1.077149795,1.600471579
7.13,0.075,3.252,0.553,0.85308953,1.024301074
6.123,0.083,4.228,0.091,0.786964259,1.252269957
38.285,0.157,13.189,0.217,1.583028651,2.240423737
10.901,0.11,5.582,0.245,1.03746634,1.493579664
4.354,0.075,2.905,0.332,0.638888425,0.926292273
26.034,0.229,9.658,5.311,1.415540901,1.969774402
672.937,5.812,268.493,4.743,2.827974408,4.857865935
12.9,0.18,5.413,0.22,1.11058971,1.466876054
102.283,0.466,32.641,0.422,2.009803458,3.027526911
23.183,0.275,11.072,0.382,1.365169635,2.088452154
11.33,0.093,4.707,0.285,1.05422991,1.345488397
147.463,0.687,54.043,0.68,2.168683065,3.465478899
10.62,0.115,4.72,0.124,1.026124517,1.347883997
1.208,0.056,1.1,0.137,0.082066934,0.08278537
17.072,0.53,15.301,0.54,1.232284402,2.36943963
119.921,0.498,41.206,0.421,2.078895241,3.229920916
39.269,0.162,12.747,0.172,1.594049842,2.210815972
658.288,3.223,238.102,2.817,2.818415938,4.753526087
29.004,0.204,9.762,0.373,1.462457896,1.979077607
6.894,0.041,3.338,0.112,0.838471279,1.046972665
1.829,0.119,2.366,0.487,0.262213705,0.748029481
2.178,0.519,2.047,3,0.338057875,0.622235685
14.499,0.117,5.996,0.166,1.16133805,1.555723248
0.675,0.032,1.301,0.033,-0.170696227,0.228554593
15.185,0.796,29.746,1.474,1.181414796,2.946857147
217.956,2.625,138.558,3.305,2.338368829,4.283263212
12.309,0.19,7.163,0.36,1.090222772,1.710189902
147.49,1.389,61.62,1.204,2.168762576,3.579443388
27.88,0.331,11.753,0.376,1.445292769,2.140297472
30.117,0.207,11.592,0.288,1.478811709,2.128316745
159.266,7.853,374.844,14.709,2.202123073,5.147701127
351.358,1.669,137.467,1.678,2.545749846,4.27639691
9.297,0.212,6.826,0.421,0.968342831,1.668332568
1.333,0.063,1.363,0.136,0.124830149,0.268991712
214.905,1.135,80.734,1.105,2.33224652,3.814112941
175.447,0.965,61.183,0.867,2.244145947,3.573261536
38.587,0.208,13.591,0.514,1.586441015,2.266502825
42.07,0.406,20.5,0.414,1.623972512,2.623507722
0.15,0.043,0.415,0.065,-0.823908741,-0.763903807
685.856,3.117,237.308,2.8,2.836232942,4.750624758
66.565,0.653,22.006,0.515,1.823245936,2.685082217
369.139,2.367,137.245,2.052,2.567189931,4.274993063
91.026,0.402,29.98,0.36,1.959165459,2.953663257
12.989,0.101,6.07,0.169,1.113575717,1.566377382
78.409,0.434,23.5,0.342,1.894365915,2.742135725
2.448,0.03,1.567,0.043,0.388811413,0.390137993
12.96,0.083,5.462,0.192,1.112605002,1.474703392
0.22,0.035,0.873,0.058,-0.657577319,-0.117971513
17.82,0.185,7.923,0.334,1.2509077,1.797779312
10.817,0.145,5.665,0.167,1.03410683,1.506399828
7.764,0.084,4.042,0.107,0.890085527,1.213192618
3.292,0.069,1.726,0.202,0.517459827,0.474081583
28.837,0.15,8.732,0.243,1.459950077,1.882227454
41.154,0.507,16.012,0.494,1.614412053,2.408891163
375.299,5.54,149.858,4.609,2.574377407,4.351359864
2165.11,23.867,816.882,21.953,3.335479966,5.824318653
1.869,0.049,1.373,0.114,0.271609301,0.275341074
5.416,0.087,2.927,0.122,0.733678656,0.932845445
52.261,0.535,18.884,0.407,1.718177716,2.552187984
34.124,0.476,17.015,0.948,1.533059933,2.461663907
8.241,0.164,4.565,0.243,0.915979914,1.318881564
20.437,0.095,6.92,0.119,1.310417145,1.680212189
30.977,0.221,9.639,0.194,1.491039356,1.968063961
2.796,0.079,2.344,0.078,0.446537167,0.739915215
1.937,0.103,1.462,0.279,0.287129621,0.329894745
8.065,0.175,6.873,0.62,0.906604372,1.674292688
7.744,0.107,4.497,0.545,0.888965344,1.305845775
0.356,0.098,0.883,0.119,-0.448550002,-0.108078593
297.63,2.773,127.671,2.053,2.473676704,4.21218452
28.014,0.199,10.197,0.228,1.447375124,2.016944839
2.905,0.043,2.124,0.139,0.463146137,0.654309025
2.077,0.075,1.86,0.203,0.317436497,0.539025888
49.867,0.281,16.143,1.165,1.697813242,2.415968494
5.899,0.035,2.33,0.074,0.770778396,0.734711842
2.805,0.045,1.902,0.065,0.447932866,0.558421025
4.406,0.075,2.354,0.364,0.644044493,0.743612917
32.459,0.311,15.223,0.358,1.511335136,2.365000495
8.972,0.071,3.609,0.16,0.952889265,1.114773764
40.704,0.241,14.456,0.228,1.60963709,2.320096279
95.463,0.619,30.591,0.644,1.979835078,2.971187348
10.046,0.086,4.38,0.108,1.001993174,1.282948221
27.489,0.235,12.62,0.337,1.439158941,2.20211871
89.635,0.328,27.367,0.296,1.952477623,2.874454384
0.297,0.106,0.998,0.135,-0.527243551,-0.001738917
31.3,0.26,11.288,0.228,1.495544338,2.105234001
8.308,0.07,3.45,1.11,0.919496488,1.07563819
21.438,0.126,8.796,0.189,1.331184267,1.888570441
5.521,0.08,2.704,0.444,0.742017747,0.864013375
0.372,0.049,1.089,0.098,-0.42945706,0.07405576
10.19,0.133,6.111,0.153,1.008174184,1.572224567
33.164,0.355,14.794,0.289,1.520666906,2.340171229
125.932,1.049,52.005,1.037,2.100136101,3.432090201
767.928,3.779,267.753,3.676,2.885320503,4.855468691
545.308,9.75,515.47,14.232,2.736641869,5.424406789
1.387,0.023,1.185,0.034,0.142076461,0.147436701
150.698,0.827,62.809,0.691,2.178107489,3.596043758
96.378,0.992,56.663,1.395,1.98397791,3.506599129
21.535,0.244,11.335,0.693,1.333144876,2.108843049
45.356,0.274,15.941,0.298,1.656634747,2.405031124
16.233,0.265,8.035,3.703,1.210398789,1.809971762
10.768,0.473,6.102,7.028,1.032135047,1.570944407
5.587,0.061,3.886,0.115,0.747178671,1.179005593
2.462,0.145,2.225,0.615,0.391288049,0.694660031
14.585,0.258,19.53,0.78,1.163906433,2.581404487
12.742,0.19,5.771,0.294,1.105237601,1.522502149
79.076,0.961,29.976,0.988,1.898044693,2.95354736
23.345,0.16,8.726,0.158,1.368193878,1.881630417
26.233,0.188,11.181,0.198,1.418847959,2.096961295
13.395,0.076,5.521,0.121,1.126942718,1.484035494
18.166,0.087,6.819,0.122,1.25925931,1.667441381
9.329,0.059,4.025,0.149,0.969835093,1.209531769
2202.788,15.425,916.344,15.434,3.342972702,5.924117081
516.058,5.925,214.568,4.978,2.712698515,4.663129906
9.851,0.051,4.059,0.343,0.993480319,1.216838103
40.279,0.222,14.399,0.274,1.60507868,2.316664663
5.986,0.056,4.131,0.171,0.777136713,1.23211039
31.944,0.386,12.675,0.356,1.504389297,2.205895936
940.878,6.187,307.98,5.114,2.973533314,4.977045029
1.041,0.088,1.445,0.131,0.01745073,0.319735694
2.384,0.259,1.472,0.865,0.377306251,0.33581562
3.964,0.088,2.344,0.469,0.598133646,0.739915215
168.502,1.492,61.833,1.317,2.22660506,3.582440636
96.891,0.434,37.405,0.366,1.986283438,3.145859318
5.586,0.059,2.656,0.213,0.747100931,0.848456141
41.199,0.29,16.216,0.762,1.614886675,2.419887471
150.506,0.838,63.816,0.837,2.177553814,3.609859158
39.459,0.277,15.551,0.627,1.596146075,2.383516643
34.033,0.195,13.113,0.252,1.531900234,2.235404122
8.011,0.093,3.888,0.404,0.903686732,1.179452513
42.617,0.37,18.298,0.326,1.629582875,2.524807247
4.904,0.038,3.133,0.068,0.690550462,0.99192079
2.208,0.066,1.73,0.166,0.343999069,0.476092206
0.486,0.045,0.976,0.064,-0.313363731,-0.021100365
6.254,0.055,3.466,0.059,0.796157877,1.079657117
4.826,0.05,2.64,0.076,0.683587318,0.843207854
8.846,0.086,4.596,0.096,0.946746935,1.32476004
16.648,0.376,10.442,0.625,1.221362067,2.037567378
18.514,0.216,10.031,0.375,1.267500259,2.002688461
4.146,0.074,2.572,0.229,0.617629298,0.820541929
0.741,0.265,0.827,0.6,-0.130181792,-0.164988981
65.397,0.343,21.26,0.325,1.815557826,2.65512652
2.804,0.066,1.742,0.051,0.447778009,0.482096301
0.672,0.061,1.235,0.085,-0.172630727,0.183333915
0.613,0.199,0.608,0.455,-0.212539525,-0.432192841
8.059,0.192,4.372,0.76,0.906281156,1.281360307
99.536,0.572,36.459,0.534,1.997980184,3.123609505
26.853,0.403,31.834,0.553,1.428992812,3.005782424
4.161,0.04,1.556,0.122,0.619197716,0.384019185
37.026,0.398,15.053,0.472,1.568506797,2.355246123
20.588,0.192,9.222,0.304,1.31361416,1.929650236
2150.179,8.338,784.965,6.788,3.332474616,5.789700586
2.612,0.06,1.949,0.303,0.416973173,0.579623678
19.643,0.097,6.986,0.114,1.293207817,1.688457163
16.194,0.077,5.938,0.108,1.209354135,1.547280387
0.371,0.04,0.452,0.052,-0.43062609,-0.68972313
6.625,0.086,3.372,0.131,0.821185883,1.055775132
1513.053,6.963,587.423,6.835,3.179854141,5.537901894
67.602,0.393,25.721,0.35,1.829959545,2.820575699
2.243,0.334,2.02,0.784,0.350829274,0.610702739
309.901,2.204,111.353,1.974,2.491222978,4.093403844
33.8,0.294,13.38,0.281,1.5289167,2.252912227
90.493,1.462,39.478,1.104,1.956614986,3.192710285
23.435,0.127,8.205,0.223,1.369864958,1.828157171
26.165,0.13,11.534,0.257,1.417720739,2.123959894
10.504,0.131,4.811,0.197,1.021354713,1.364470714
121.387,0.88,45.91,0.837,2.084172178,3.323814586
5.519,0.164,3.893,0.178,0.741860394,1.180568807
3.156,0.046,2.655,0.104,0.499136995,0.848129051
18.674,0.234,9.944,0.411,1.271237354,1.995122231
0.617,0.048,1.061,0.07,-0.209714836,0.051430768
29.45,0.204,9.542,0.243,1.469085299,1.959278824
397.635,2.229,141.961,2.084,2.599484604,4.3043381
52.659,0.316,18.916,0.417,1.721472608,2.553658611
1.941,0.057,1.969,0.049,0.288025535,0.588491432
5.183,0.119,3.139,0.169,0.714581209,0.993582631
15.669,0.181,7.388,0.253,1.195041281,1.737053774
1164.627,17.454,798.038,19.586,3.066186854,5.804047143
38.652,0.33,16.75,0.33,1.587171971,2.448029623
2.163,0.064,1.629,0.108,0.335056519,0.423842169
387.707,2.094,167.178,1.717,2.588503642,4.446358251
